"Subject","Shape","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Response","RT_ms","RT_sec","ACC"
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",704,0.704,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",663,0.663,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",688,0.688,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",732,0.732,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",787,0.787,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",1089,1.089,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",798,0.798,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","n",677,0.677,0
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",707,0.707,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","n",1071,1.071,0
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",682,0.682,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",857,0.857,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",827,0.827,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",754,0.754,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",1050,1.05,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",719,0.719,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",928,0.928,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",640,0.64,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",873,0.873,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",844,0.844,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",737,0.737,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",707,0.707,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",765,0.765,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",666,0.666,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",742,0.742,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",700,0.7,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",645,0.645,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",651,0.651,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",751,0.751,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",803,0.803,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",662,0.662,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","m",787,0.787,1
1,"C.bmp","friend","Close","Self","Self","Self","Nonmatching","n",624,0.624,0
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",596,0.596,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",596,0.596,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",574,0.574,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",568,0.568,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",546,0.546,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",681,0.681,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",506,0.506,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",536,0.536,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",780,0.78,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",415,0.415,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",781,0.781,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",585,0.585,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",664,0.664,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",645,0.645,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",676,0.676,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",584,0.584,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",457,0.457,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",489,0.489,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",593,0.593,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",855,0.855,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",605,0.605,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",478,0.478,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",676,0.676,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",590,0.59,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",723,0.723,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",599,0.599,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",703,0.703,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",686,0.686,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",802,0.802,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",590,0.59,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",625,0.625,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",631,0.631,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",523,0.523,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",897,0.897,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",804,0.804,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",606,0.606,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",638,0.638,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",587,0.587,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",653,0.653,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",584,0.584,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",650,0.65,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",625,0.625,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",636,0.636,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",577,0.577,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",546,0.546,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",665,0.665,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",613,0.613,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",1011,1.011,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",644,0.644,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",580,0.58,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",671,0.671,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",586,0.586,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",570,0.57,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",630,0.63,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",562,0.562,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",582,0.582,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",840,0.84,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",600,0.6,1
1,"C.bmp","self","Self","Self","Self","Self","Matching","n",1027,1.027,1
