"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
2001,"P95E2","/","/","/","/","/","/","/","/"
2002,"P95E2","/","/","/","/","/","/","/","/"
2003,"P95E2","/","/","/","/","/","/","/","/"
2004,"P95E2","/","/","/","/","/","/","/","/"
2005,"P95E2","/","/","/","/","/","/","/","/"
2006,"P95E2","/","/","/","/","/","/","/","/"
2007,"P95E2","/","/","/","/","/","/","/","/"
2008,"P95E2","/","/","/","/","/","/","/","/"
2009,"P95E2","/","/","/","/","/","/","/","/"
2101,"P95E2","/","/","/","/","/","/","/","/"
2102,"P95E2","/","/","/","/","/","/","/","/"
2103,"P95E2","/","/","/","/","/","/","/","/"
2104,"P95E2","/","/","/","/","/","/","/","/"
2105,"P95E2","/","/","/","/","/","/","/","/"
2106,"P95E2","/","/","/","/","/","/","/","/"
2107,"P95E2","/","/","/","/","/","/","/","/"
2108,"P95E2","/","/","/","/","/","/","/","/"
2109,"P95E2","/","/","/","/","/","/","/","/"
