,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,word,MATCHkey,RT,correct,question,response,condition,TaskType,Association
4,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
5,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
6,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
7,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
8,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
9,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
10,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
11,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
12,4,1,19,female,College or Technical school,right-handed,consent,NA,NA,NA,NA,NA,NA,NA,21617,0,NA,Yes,NA,consent,NA
13,4,1,19,female,College or Technical school,right-handed,NA,NA,NA,NA,NA,NA,NA,NA,25778,NA,NA,y,NA,NA,NA
14,4,1,19,female,College or Technical school,right-handed,friend,NA,NA,NA,NA,NA,NA,NA,96384,0,name,Adam,NA,friend,NA
15,4,1,19,female,College or Technical school,right-handed,friend,NA,NA,NA,NA,NA,NA,NA,96384,0,Known,8,NA,friend,NA
16,4,1,19,female,College or Technical school,right-handed,friend,NA,NA,NA,NA,NA,NA,NA,96384,0,familiar,7,NA,friend,NA
17,4,1,19,female,College or Technical school,right-handed,friend,NA,NA,NA,NA,NA,NA,NA,96384,0,meet_num,na,NA,friend,NA
18,4,1,19,female,College or Technical school,right-handed,friend,NA,NA,NA,NA,NA,NA,NA,96384,0,meet_word,Other,NA,friend,NA
