,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,left,right,MATCHkey,RT,correct,TaskType,Association,Condition
32,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_you,1,label_you,n,657,1,PMT1,self,match
33,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_you,1,label_you,n,800,1,PMT1,self,match
44,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_you,1,label_you,n,792,1,PMT1,self,match
47,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_you,1,label_you,n,708,1,PMT1,self,match
64,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_you,1,label_you,n,758,1,PMT1,self,match
70,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_you,1,label_you,n,656,1,PMT1,self,match
30,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_friend,2,label_friend,n,779,1,PMT1,friend,match
42,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_friend,2,label_friend,n,941,1,PMT1,friend,match
54,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_friend,2,label_friend,n,692,1,PMT1,friend,match
55,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_friend,2,label_friend,n,651,1,PMT1,friend,match
67,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_friend,2,label_friend,n,772,1,PMT1,friend,match
73,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_friend,2,label_friend,n,789,1,PMT1,friend,match
35,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_9,3,label_9,n,673,1,PMT1,9,match
41,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_9,3,label_9,n,711,1,PMT1,9,match
50,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_9,3,label_9,n,687,1,PMT1,9,match
58,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_9,3,label_9,n,701,1,PMT1,9,match
60,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_9,3,label_9,n,719,1,PMT1,9,match
65,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_9,3,label_9,n,698,1,PMT1,9,match
34,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_1,4,label_1,n,850,1,PMT1,1,match
39,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_1,4,label_1,n,955,1,PMT1,1,match
51,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_1,4,label_1,n,933,1,PMT1,1,match
52,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_1,4,label_1,n,745,1,PMT1,1,match
61,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_1,4,label_1,n,676,1,PMT1,1,match
71,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_1,4,label_1,n,784,1,PMT1,1,match
29,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,876,1,PMT1,self,mismatch
