"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"P51E2b",25,"Male","R","/","/","China","/","/"
3,"P51E2b",24,"Female","R","/","/","China","/","/"
5,"P51E2b",25,"Female","R","/","/","China","/","/"
7,"P51E2b",21,"Female","R","/","/","China","/","/"
9,"P51E2b",25,"Female","R","/","/","China","/","/"
11,"P51E2b",26,"Female","R","/","/","China","/","/"
13,"P51E2b",24,"Female","R","/","/","China","/","/"
15,"P51E2b",23,"Female","R","/","/","China","/","/"
23,"P51E2b",24,"Female","R","/","/","China","/","/"
2,"P51E2b",23,"Male","R","/","/","China","/","/"
6,"P51E2b",25,"Male","R","/","/","China","/","/"
8,"P51E2b",24,"Male","R","/","/","China","/","/"
12,"P51E2b",25,"Female","R","/","/","China","/","/"
14,"P51E2b",22,"Female","R","/","/","China","/","/"
20,"P51E2b",23,"Male","R","/","/","China","/","/"
24,"P51E2b",22,"Male","R","/","/","China","/","/"
