Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,24.578906200127676,None,0.01607441995292902,0.5463467198424041,40.70204030000605,None,54.49716540006921,None,54.49716540006921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,74.38298880006187,None,74.38298880006187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,94.38052710006014,None,94.38052710006014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,114.34219019999728,None,138.50979649997316,None,space,13.415204100077972,2.009081889875233,None,153.9377942001447,None,1.795,1.771,156.9570812000893,None,157.58346029999666,158.09059879998676,158.07393090007827,158.19065540004522,158.07393090007827,158.19065540004522,158.17410330008715,None,None,0,158.17410330008715,None,159.9739846000448,None,,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,1.404,2.49,160.37563599995337,None,160.91051160008647,161.40966110001318,161.40966110001318,161.50972730014473,161.40966110001318,161.50972730014473,161.50972730014473,None,c,1,161.50972730014473,None,162.4929782000836,None,0.9601441000122577,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,1.734,1.616,162.89404250006191,None,163.42670239997096,163.92814910016023,163.9114888999611,164.02817910001613,163.9114888999611,164.02817910001613,164.01152179995552,None,m,0,164.01152179995552,None,164.6961159000639,None,0.6663160999305546,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,1.573,2.172,165.09561920003034,None,165.6261053001508,166.12972220010124,166.11304550012574,166.21309980005026,166.11304550012574,166.21309980005026,166.21309980005026,None,c,1,166.21309980005026,None,166.88249780004844,None,0.6407707999460399,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1.448,1.618,167.2972401001025,None,167.82550740009174,168.33136990014464,168.3146639999468,168.41470140009187,168.3146639999468,168.41470140009187,168.41470140009187,None,m,0,168.41470140009187,None,169.1994489999488,None,0.7591695000883192,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,1.544,1.639,169.5989051000215,None,170.13070380012505,170.63318370003253,170.61633210000582,170.73303900007159,170.61633210000582,170.73303900007159,170.71634040004574,None,c,1,170.71634040004574,None,171.29875640012324,None,0.553531999932602,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1.557,1.863,171.70053090015426,None,172.2373492999468,172.75118490005843,172.7345118999947,172.83454439998604,172.7345118999947,172.83454439998604,172.83454439998604,None,m,1,172.83454439998604,None,173.68520259996876,None,0.8192888998892158,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1.435,2.165,174.08549650013447,None,174.6183130000718,175.11957860016264,175.10286860005,175.219640100142,175.10286860005,175.219640100142,175.20289700012654,None,m,1,175.20289700012654,None,176.20369410002604,None,0.978934200014919,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,1.561,2.242,176.60392530006357,None,177.14484710013494,177.65468539996073,177.63804600015283,177.75477200001478,177.63804600015283,177.75477200001478,177.75477200001478,None,c,1,177.75477200001478,None,178.77235460001975,None,0.987099900143221,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,1.529,1.622,179.17257470008917,None,179.70359569997527,180.2065727999434,180.18989509996027,180.28995050000958,180.18989509996027,180.28995050000958,180.28995050000958,None,c,0,180.28995050000958,None,181.6250396000687,None,1.3158325999975204,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,1.726,1.491,182.02454619994387,None,182.5574082999956,183.05863810004666,183.04195230011828,183.15870680008084,183.04195230011828,183.15870680008084,183.14197700005025,None,m,1,183.14197700005025,None,184.27480820007622,None,1.1038545998744667,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,1.661,1.449,184.67648130003363,None,185.2064755000174,185.71055660001002,185.69390289997682,185.8105834000744,185.69390289997682,185.8105834000744,185.793871199945,None,m,1,185.793871199945,None,186.87648930004798,None,1.0600213999859989,,,,,,,,,,,,,,,,,,,,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,214.96524509997107,None,1.405,1.736,218.4833725001663,None,,,,,,,,,,,,,,,,187.27852799999528,None,0.014177790144458413,0.5119693900924176,219.10663149994798,219.61852060002275,0.5043204198591411,1.0044872199650854,219.601830100175,219.71860320004635,219.601830100175,219.71860320004635,219.7018794999458,None,m,1,0.7840515999123454,219.7018794999458,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,1.738,2.29,220.60984600009397,None,,,,,,,,,,,,,,,,,,,,221.16516140010208,221.66985599999316,0.5095129599794745,1.0097940599080175,221.65320209995843,221.76990470010787,221.65320209995843,221.76990470010787,221.75318820006214,None,m,1,0.8926457997877151,221.75318820006214,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,1.445,2.151,222.77612740010954,None,,,,,,,,,,,,,,,,,,,,223.31575109995902,223.8214054000564,0.5105952699668705,1.010870970087126,223.80475690006278,223.9214789001271,223.80475690006278,223.9214789001271,223.9047753000632,None,m,1,0.9011036998126656,223.9047753000632,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,1.43,2.285,224.9283529999666,None,,,,,,,,,,,,,,,,,,,,225.4659266001545,225.97305890009739,0.5113707699347287,1.0116497699636966,225.95633600000292,226.0730161999818,225.95633600000292,226.0730161999818,226.05634130002,None,c,1,1.22956099989824,226.05634130002,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,1.467,2.195,227.41303579998203,None,,,,,,,,,,,,,,,,,,,,227.95389260002412,228.458051700145,0.507330970140174,1.0076171699911356,228.4414377999492,228.54149520001374,228.4414377999492,228.54149520001374,228.54149520001374,None,m,1,0.6962645000312477,228.54149520001374,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,1.52,1.858,229.36454270011745,None,,,,,,,,,,,,,,,,,,,,229.90508870012127,230.40951060014777,0.5100068699102849,1.0102533700410277,230.39285319996998,230.50958850001916,230.39285319996998,230.50958850001916,230.492871100083,None,c,1,0.8729105000384152,230.492871100083,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,1.764,2.03,231.49987880000845,None,,,,,,,,,,,,,,,,,,,,232.05172990006395,232.56143100000918,0.5041934698820114,1.0022089697886258,232.54660140001215,232.6611172000412,232.54660140001215,232.6611172000412,232.64441730012186,None,m,0,0.7694377000443637,232.64441730012186,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,1.673,2.281,233.55119629995897,None,,,,,,,,,,,,,,,,,,,,234.09241569996811,234.59589060000144,0.5067093698307872,1.0076423699501902,234.57923740008846,234.69589280011132,234.57923740008846,234.69589280011132,234.67924090009183,None,c,1,0.86271240003407,234.67924090009183,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,1.528,1.453,235.67044589994475,None,,,,,,,,,,,,,,,,,,,,236.2084858000744,236.71407190011814,0.5086562701035291,1.0089162702206522,236.69739490002394,236.81412100000307,236.69739490002394,236.81412100000307,236.79743110015988,None,m,1,0.8243879999499768,236.79743110015988,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1.795,2.269,237.75333920004778,None,,,,,,,,,,,,,,,,,,,,238.2955154001247,238.79893269995227,0.5074834700208157,1.0077843701001257,238.78223310015164,238.8822856999468,238.78223310015164,238.8822856999468,238.8822856999468,None,c,1,0.7875955998897552,238.8822856999468,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,1.586,1.316,239.8049761999864,None,,,,,,,,,,,,,,,,,,,,240.34483560011722,240.85039709997363,0.511074970010668,1.0113644700031728,240.83370970003307,240.9337412000168,240.83370970003307,240.9337412000168,240.9337412000168,None,c,1,0.5442009000107646,240.9337412000168,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,1.592,2.248,241.60661890008487,None,,,,,,,,,,,,,,,,,,,,242.1437820000574,242.6517257001251,0.5143612700048834,1.0146583700552583,242.63499450008385,242.73505900008604,242.63499450008385,242.73505900008604,242.73505900008604,None,m,1,0.5667638001032174,242.73505900008604,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,1,0,12,6,,,,,,,,,,,,,,,,,,,,,1.655,1.96,243.42502490011975,None,,,,,,,,,,,,,,,,,,,,243.96381580014713,244.4697068000678,0.5109895700588822,1.011269369861111,244.4530104000587,244.55312680010684,244.4530104000587,244.55312680010684,244.55312680010684,None,m,1,0.6686863000504673,244.55312680010684,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,1,13,11,,,,,,,,,,,,,,,,,,,,,1.642,1.674,245.34307430009358,None,,,,,,,,,,,,,,,,,,,,245.88594059995376,246.38769500004128,0.5055927701760083,1.0058835700619966,246.37106780009344,246.48779579997063,246.37106780009344,246.48779579997063,246.4711156000849,None,m,0,0.8467956001404673,246.4711156000849,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,1,2,14,1,,,,,,,,,,,,,,,,,,,,,1.588,2.108,247.4449350000359,None,,,,,,,,,,,,,,,,,,,,247.98474230011925,248.48924769996665,0.5064252701122314,1.0067116701975465,248.4726017001085,248.58934159995988,248.4726017001085,248.58934159995988,248.5726405000314,None,m,1,0.761158499866724,248.5726405000314,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,3,15,10,,,,,,,,,,,,,,,,,,,,,1.637,2.324,249.462739800103,None,,,,,,,,,,,,,,,,,,,,250.00127290003002,250.5073995999992,0.5113453699741513,1.0115958699025214,250.4907076000236,250.60743189998902,250.4907076000236,250.60743189998902,250.59074580017477,None,c,1,0.7110980998259038,250.59074580017477,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,4,16,4,,,,,,,,,,,,,,,,,,,,,1.562,1.393,251.43102510017343,None,,,,,,,,,,,,,,,,,,,,251.9688093001023,252.47549530002289,0.5113641698844731,1.0116649698466063,252.45876169996336,252.57555010006763,252.45876169996336,252.57555010006763,252.55901540000923,None,c,1,0.5828273000661284,252.55901540000923,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,5,17,8,,,,,,,,,,,,,,,,,,,,,1.611,1.457,253.2655849000439,None,,,,,,,,,,,,,,,,,,,,253.80846740002744,254.31013879994862,0.5048918700776994,1.005199570208788,254.29347639996558,254.41018180013634,254.29347639996558,254.41018180013634,254.39348720014095,None,m,0,0.5403223999310285,254.39348720014095,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,1,6,18,7,,,,,,,,,,,,,,,,,,,,,1.78,2.095,255.06736440001987,None,,,,,,,,,,,,,,,,,,,,255.61317250016145,256.1281743000727,0.513533370103687,1.0138414700049907,256.11143180006184,256.22817270015366,256.11143180006184,256.22817270015366,256.2114636001643,None,m,1,0.8023637998849154,256.2114636001643,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,1,7,19,0,,,,,,,,,,,,,,,,,,,,,1.587,2.292,257.1517254000064,None,,,,,,,,,,,,,,,,,,,,257.6920551001094,258.19626400014386,0.5070765700656921,1.0073681701906025,258.17960670008324,258.2796457000077,258.17960670008324,258.2796457000077,258.2796457000077,None,c,1,0.6862214000429958,258.2796457000077,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,1,8,20,3,,,,,,,,,,,,,,,,,,,,,1.797,1.282,259.10217460012063,None,,,,,,,,,,,,,,,,,,,,259.64151720004156,260.14769220002927,0.5110554702114314,1.0113364702556282,260.1310354000889,260.2310581000056,260.1310354000889,260.2310581000056,260.2310581000056,None,m,1,0.6708056000061333,260.2310581000056,None,,,,,m,24,p10,2022_Apr_12_1545,training+cueing,2021.1.4,60.03737929137875,
