Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Friend.png,Friend,,,,,,,0,0,0,1,,,,,,,,,,,,,21.5706689999206,None,0.0058187001850456,0.5255819002632052,30.180204599979334,None,44.41707289998885,None,44.41707289998885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,64.30987369990908,None,64.30987369990908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,84.30938240000978,None,84.30938240000978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,104.26920749992132,None,153.58809489989653,None,space,0.3614408998982981,2.0087661599973217,None,155.95650719990954,None,1.55,2.143,158.97339289996307,None,159.59980969992466,160.10936609993223,160.09274359990377,160.1927412999794,160.09274359990377,160.1927412999794,160.1927412999794,None,None,0,160.1927412999794,None,161.74599169997964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,1.559,2.175,162.16086659999564,None,162.69362589996308,163.1948904999299,163.17826789990067,163.2951158999931,163.17826789990067,163.2951158999931,163.2784538998967,None,m,0,163.2784538998967,None,164.1276208999334,None,0.829354300047271,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,1.711,2.171,164.52938189997803,None,165.0678188999882,165.5801380999619,165.56345549994148,165.6638086999301,165.56345549994148,165.6638086999301,165.6638086999301,None,c,1,165.6638086999301,None,166.44734189996962,None,0.7477567000314593,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1.743,2.063,166.84829899994656,None,167.38158269994892,167.88159559993073,167.86500260001048,167.96517219999805,167.86500260001048,167.96517219999805,167.96517219999805,None,m,1,167.96517219999805,None,168.6989682998974,None,0.7184895999962464,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1.523,1.418,169.09933939995244,None,169.63645889994223,170.15004459989723,170.13297559996136,170.2500153000001,170.13297559996136,170.2500153000001,170.233314699959,None,c,1,170.233314699959,None,170.99950619996525,None,0.738351900014095,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,1.499,2.22,171.40110809996258,None,171.93942499998957,172.45175389992073,172.43508719990496,172.55184500000905,172.43508719990496,172.55184500000905,172.53508009994403,None,c,1,172.53508009994403,None,173.25089689996094,None,0.6927041000453755,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,1.541,1.754,173.65263309993315,None,174.19147339998744,174.70321969990619,174.68654339993373,174.80327699996997,174.68654339993373,174.80327699996997,174.78656459995545,None,m,0,174.78656459995545,None,175.430293399957,None,0.6172475999919698,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
