Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Friend.png,Friend,,,,,,,0,0,0,1,,,,,,,,,,,,,20.989869200158864,None,0.009573939954861999,0.5291382397990674,29.116722899954766,None,44.48076960002072,None,44.48076960002072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,64.37010850012302,None,64.37010850012302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Self.png,You,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,84.35593389999121,None,84.35593389999121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,104.30476970016025,None,142.23220130009577,None,space,-0.21011319989338517,2.0094560699071735,None,144.23372630006634,None,1.772,1.97,147.2506352001801,None,147.87460890016519,148.38658000016585,148.36985610006377,148.4699288001284,148.36985610006377,148.4699288001284,148.4699288001284,None,m,1,0.8169708999339491,148.4699288001284,None,149.30701160011813,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.36,149.72091250005178,None,150.25577290006913,150.7550238999538,150.7550238999538,150.85507560009137,150.7550238999538,150.85507560009137,150.85507560009137,None,c,1,0.6717614000663161,150.85507560009137,None,151.55560850002803,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1.466,1.763,151.95587960002013,None,152.49663250008598,153.00653870007955,152.9898467999883,153.10658819996752,152.9898467999883,153.10658819996752,153.089892399963,None,m,1,1.044898500200361,153.089892399963,None,154.15741600003093,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1.611,1.468,154.5576327999588,None,155.09001370007172,155.5916836000979,155.57505080010742,155.6917558000423,155.57505080010742,155.6917558000423,155.6750776001718,None,m,0,0.9720445999410003,155.6750776001718,None,156.6887085000053,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1.612,1.277,157.09284460009076,None,157.63878170005046,158.14360020007007,158.12690569995902,158.22694250009954,158.12690569995902,158.22694250009954,158.22694250009954,None,c,1,1.1238307000603527,158.22694250009954,None,159.376441600034,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1.509,1.64,159.77805490000173,None,160.32444480014965,160.8288171000313,160.81216760003008,160.92888010013849,160.81216760003008,160.92888010013849,160.9122373999562,None,m,1,1.1425997999031097,160.9122373999562,None,162.0798321000766,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,1.517,1.453,162.48008240014315,None,163.01718480000272,163.53085490013473,163.5142793999985,163.63082800013945,163.5142793999985,163.63082800013945,163.61415700009093,None,m,1,1.288593800039962,163.61415700009093,None,164.93179300008342,None,,,,,,,,,,,,,,,,,,,,,,,,,35,p22,2022_May_02_1044,training+cueing,2021.1.4,59.60399109309477,
