Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,19.885032900143415,None,0.0024539197329431772,0.5204133198130876,32.06214020005427,None,42.36666980013251,None,42.36666980013251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,62.26778820017353,None,62.26778820017353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,82.26474840007722,None,82.26474840007722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,102.22975250007585,None,160.17170730000362,None,space,0.13300830009393394,2.0086645900737494,None,162.32147530000657,None,1.56,1.713,165.33240280020982,None,165.97638800018467,166.47636500000954,166.47636500000954,166.5763944000937,166.47636500000954,166.5763944000937,166.5763944000937,None,None,0,166.5763944000937,None,168.14370240014978,None,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1.798,2.174,168.54446030012332,None,169.07292070006952,169.57841860014014,169.56181470002048,169.67847460019402,169.56181470002048,169.67847460019402,169.66178760002367,None,m,1,169.66178760002367,None,171.02910819998942,None,1.3479949999600649,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,1.515,1.344,171.42962680011988,None,171.96477610012516,172.4639002000913,172.4639002000913,172.56465050019324,172.4639002000913,172.56465050019324,172.56465050019324,None,c,1,172.56465050019324,None,173.93141459999606,None,1.3409734999295324,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,1.415,1.474,174.33208810002543,None,174.87765420018695,175.38339060009457,175.36528989998624,175.48292220011353,175.36528989998624,175.48292220011353,175.46619940013625,None,m,0,175.46619940013625,None,176.57989639998414,None,1.0797502000350505,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,1.495,2.19,176.98394230008125,None,177.52312260004692,178.03456760011613,178.018055499997,178.11783390003256,178.018055499997,178.11783390003256,178.11783390003256,None,c,0,178.11783390003256,None,179.55542640015483,None,1.4200691001024097,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1.711,2.354,179.96949510020204,None,180.50697220000438,181.02006850019097,181.00331420009024,181.120010800194,181.00331420009024,181.120010800194,181.10338950017467,None,None,0,181.10338950017467,None,182.82131330017,None,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,1.771,2.078,183.22164200013503,None,183.7634158001747,184.27232570014894,184.2551888001617,184.3724984000437,184.2551888001617,184.3724984000437,184.3558364000637,None,None,0,184.3558364000637,None,186.13963790005073,None,,,,,,,,,,,,,,,,,,,,,,,,,m,,p7,2022_Mar_08_1231,training+cueing,2021.1.4,60.05681370294661,
