Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,14.992745800002012,None,0.0028232599870534614,0.5229825599890319,25.23800779999874,None,41.25115170000208,None,41.25115170000208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Self.png,You,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,61.15032059999794,None,61.15032059999794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,81.13322750000225,None,81.13322750000225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,101.0936051000026,None,124.85916809999617,None,space,19.0451219999959,2.0077077700043446,None,145.90977179999754,None,1.79,1.748,148.92109589999745,None,149.53492839999672,150.04600689999643,150.02934729999834,150.14605499999743,150.02934729999834,150.14605499999743,150.1294562999974,None,None,0,150.1294562999974,None,151.92900820000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,1.552,2.015,152.3310158999957,None,152.8639387000003,153.36513469999772,153.34846560000005,153.46518249999644,153.34846560000005,153.46518249999644,153.46518249999644,None,c,0,153.46518249999644,None,153.99895819999801,None,0.5058252000017092,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,1.519,2.49,154.3993868999969,None,154.93415719999757,155.43329809999705,155.43329809999705,155.53335929999594,155.43329809999705,155.53335929999594,155.53335929999594,None,None,0,155.53335929999594,None,157.0678423999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,1.449,1.223,157.46810430000187,None,157.99620200000209,158.50221159999637,158.48554519999743,158.58561429999827,158.48554519999743,158.58561429999827,158.58561429999827,None,c,1,158.58561429999827,None,159.05152519999683,None,0.4414300999997067,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,1.411,2.297,159.45292289999634,None,159.9859037999995,160.48702459999913,160.47041549999994,160.58705519999785,160.47041549999994,160.58705519999785,160.57037899999705,None,m,0,160.57037899999705,None,160.85453530000086,None,0.26458699999784585,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,1.534,1.409,161.25436179999815,None,161.79476609999983,162.30516740000166,162.28845429999637,162.3885459000012,162.28845429999637,162.3885459000012,162.3885459000012,None,None,0,162.3885459000012,None,163.92307869999786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1.404,1.26,164.32334370000171,None,164.85275099999853,165.35728160000144,165.34057429999666,165.45731920000253,165.34057429999666,165.45731920000253,165.44058819999918,None,c,0,165.44058819999918,None,165.89098209999793,None,0.4184823999967193,,,,,,,,,,,,,,,,,,,,,,,,,,ph,2022_Mar_22_1130,training+cueing,2021.1.4,59.71136719468498,
