Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,11.00486859981902,None,0.0046755599323660135,0.5256871599704027,12.995029899990186,None,15.1361256998498,None,15.1361256998498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,35.05529489996843,None,35.05529489996843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,55.041778799844906,None,55.041778799844906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,75.0066592998337,None,77.12491779983975,None,space,-0.19237320008687675,2.0072574799414724,None,79.12653379980475,None,1.645,2.058,82.13538019987755,None,82.76275399979204,83.2628138998989,83.2628138998989,83.36267929989845,83.2628138998989,83.36267929989845,83.36267929989845,None,c,1,0.7227064999751747,83.36267929989845,None,84.11306569981389,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1.446,1.563,84.51349099981599,None,85.04111150000244,85.54762869980186,85.53095079981722,85.63099679979496,85.53095079981722,85.63099679979496,85.63099679979496,None,m,1,1.142438700189814,85.63099679979496,None,86.79855139995925,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1.562,1.335,87.19878099998459,None,87.72567269997671,88.23286719992757,88.21620929986238,88.3162672999315,88.21620929986238,88.3162672999315,88.3162672999315,None,m,1,0.7771115000359714,88.3162672999315,None,89.11692009982653,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,1.688,1.238,89.51716659986414,None,90.0460609998554,90.55124209984206,90.5345416998025,90.6512664000038,90.5345416998025,90.6512664000038,90.63451819983311,None,c,1,0.6028944998979568,90.63451819983311,None,91.26845350000076,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,1.488,2.137,91.66883949982002,None,92.20613750000484,92.71947529981844,92.7028276999481,92.81951759988442,92.7028276999481,92.81951759988442,92.80280559998937,None,m,0,0.6746216998435557,92.80280559998937,None,93.50344649981707,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1.68,2.361,93.90362029988319,None,94.4324793999549,94.9376750998199,94.92105849995278,95.03777899988927,94.92105849995278,95.03777899988927,95.02107169991359,None,c,0,0.39228789997287095,95.02107169991359,None,95.43807669985108,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,1.434,2.013,95.83895259979181,None,96.38474669982679,96.88913279981352,96.87250569998287,96.98976399982348,96.87250569998287,96.98976399982348,96.97305829985999,None,c,1,0.26432389998808503,96.97305829985999,None,97.25792399980128,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.487,97.67321509984322,None,98.20890149986371,98.72382029984146,98.70712079992518,98.82441179989837,98.70712079992518,98.82441179989837,98.80718319979496,None,m,1,0.6542072000447661,98.80718319979496,None,99.49110779981129,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,1.474,2.235,99.89129599998705,None,100.41963679995388,100.92539280001074,100.90871669980697,101.02542969980277,100.90871669980697,101.02542969980277,101.00875599985011,None,c,0,0.5645685000345111,101.00875599985011,None,101.59306799992919,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,1.771,2.154,101.99280839995481,None,102.52230969979428,103.02692299988121,103.010228500003,103.11025219992734,103.010228500003,103.11025219992734,103.11025219992734,None,m,0,0.17514849989674985,103.11025219992734,None,103.31047949986532,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,1.592,1.869,103.71073819999583,None,104.24046109989285,104.74483649991453,104.72815079987049,104.84484639996663,104.72815079987049,104.84484639996663,104.82815449987538,None,c,0,0.21719230012968183,104.82815449987538,None,105.06174999987707,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.841,105.46199519978836,None,105.99056839989498,106.49607389979064,106.47940939990804,106.59611379983835,106.47940939990804,106.59611379983835,106.57942470000125,None,c,1,0.14594279997982085,106.57942470000125,None,106.74494110001251,None,,,,,,,,,,,,,,,,,,,,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,110.14890089980327,None,1.547,1.965,113.67237009992823,None,,,,,,,,,,,,,,,,107.14661019993946,None,0.014502480160444975,0.5133315799757838,114.28728879988194,114.80208870000206,0.5106313398573548,1.0109449396841228,114.78543219994754,114.88546479982324,114.78543219994754,114.88546479982324,114.88546479982324,None,c,1,0.6558228000067174,114.88546479982324,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,1.656,1.432,115.67684969981201,None,,,,,,,,,,,,,,,,,,,,116.21593299997039,116.72016669996083,0.5080907398369163,1.0083954399451613,116.70344650000334,116.8202045999933,116.70344650000334,116.8202045999933,116.80348089989275,None,c,0,0.7379234000109136,116.80348089989275,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,1.637,1.238,117.67708619986661,None,,,,,,,,,,,,,,,,,,,,118.21624420001172,118.72160319983959,0.511030739871785,None,118.70494089997374,118.82165089994669,118.70494089997374,118.82165089994669,118.80493799992837,None,m,0,0.35240800003521144,118.80493799992837,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,1.752,2.232,119.29522899980657,None,,,,,,,,,,,,,,,,,,,,119.83302509994246,120.3394196999725,0.5111615399364382,1.0114238399546593,120.32277569989674,120.43947129999287,120.32277569989674,120.43947129999287,120.42278599995188,None,c,0,1.4386079001706094,120.42278599995188,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,1.754,1.947,121.99481389997527,None,,,,,,,,,,,,,,,,,,,,122.53554899990559,123.04139679996297,0.5103043399285525,None,123.0247191998642,123.12476859986782,123.0247191998642,123.12476859986782,123.12476859986782,None,m,0,0.19261599984019995,123.12476859986782,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1.796,1.315,123.44797599990852,None,,,,,,,,,,,,,,,,,,,,123.99164799996652,124.4924280999694,0.5017933398485184,1.002072739880532,124.47575939982198,124.5925088999793,124.47575939982198,124.5925088999793,124.5925088999793,None,c,0,0.5648753000423312,124.5925088999793,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,1.432,2.291,125.28274989989586,None,,,,,,,,,,,,,,,,,,,,125.8174691000022,126.32709059980698,0.5012579599861056,None,126.31042939983308,126.42714119981974,126.31042939983308,126.42714119981974,126.42714119981974,None,m,0,0.23428050009533763,126.42714119981974,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,1.65,1.615,126.78364569996484,None,,,,,,,,,,,,,,,,,,,,127.31958849984221,127.82816159981303,0.5004720601718873,1.0007588602602482,127.8115083000157,127.92822709982283,127.8115083000157,127.92822709982283,127.92822709982283,None,c,0,0.6851611998863518,127.92822709982283,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,1.48,1.942,128.73505949997343,None,,,,,,,,,,,,,,,,,,,,129.2725077997893,129.77958309999667,0.5111138399224728,None,129.76293520000763,129.86295849992894,129.76293520000763,129.86295849992894,129.86295849992894,None,c,0,0.17439519986510277,129.86295849992894,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,1.625,1.99,130.16945399995893,None,,,,,,,,,,,,,,,,,,,,130.7085341999773,131.2139885998331,0.5107381399720907,1.0112887399736792,131.19729729997925,131.31404499989003,131.19729729997925,131.31404499989003,131.29733999981545,None,m,0,0.7080384001601487,131.29733999981545,None,,,,,,,po2,2022_Apr_08_1200,training+cueing,2021.1.4,59.929870020470986,
