Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,16.301020300015807,None,0.005976349813863635,0.5293128499761224,18.29381940001622,None,20.456059199990705,None,20.456059199990705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,You,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,40.35526799992658,None,40.35526799992658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,60.35275540011935,None,60.35275540011935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,80.30551189999096,None,82.30660040001385,None,space,1.5312959000002593,2.0087113499175757,None,85.842919500079,None,1.601,1.924,88.84894770011306,None,89.48903649998829,89.99575320002623,89.97907550004311,90.09580189990811,89.97907550004311,90.09580189990811,90.07910380000249,None,None,0,90.07910380000249,None,91.67843500012532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1.403,2.347,92.08075470011681,None,92.61760250013322,93.13133460003883,93.11466550012119,93.21470870007761,93.11466550012119,93.21470870007761,93.21470870007761,None,m,1,93.21470870007761,None,94.51569789997302,None,1.264606500044465,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,1.705,1.543,94.91651199990883,None,95.44446899998002,95.95002759993076,95.93333550007083,96.03342369990423,95.93333550007083,96.03342369990423,96.03342369990423,None,c,1,96.03342369990423,None,97.51785499998368,None,1.4538672000635415,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.72,97.91839549993165,None,98.45906709996052,98.9688381999731,98.93556550005451,99.03559170011431,98.93556550005451,99.03559170011431,99.03559170011431,None,c,1,99.03559170011431,None,99.8528666999191,None,0.7876563998870552,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1.642,2.092,100.25319979991764,None,100.78676829999313,101.28726739995182,101.27060539997183,101.37060620007105,101.27060539997183,101.37060620007105,101.37060620007105,None,c,1,101.37060620007105,None,102.22127999993972,None,0.8261130000464618,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,1.796,1.294,102.6215297000017,None,103.15478450013325,103.6556094000116,103.63892409997061,103.75585049996153,103.63892409997061,103.75585049996153,103.75585049996153,None,c,1,103.75585049996153,None,104.85649139992893,None,1.0754468999803066,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,1.554,1.704,105.25707129994407,None,105.79384930012748,106.307489000028,106.29086449998431,106.40758080012165,106.29086449998431,106.40758080012165,106.3908963999711,None,m,1,106.3908963999711,None,107.5945971000474,None,1.1767188999801874,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,1.409,2.217,108.00881029991433,None,108.5432623999659,109.04281409992836,109.04281409992836,109.14287400012836,109.04281409992836,109.14287400012836,109.14287400012836,None,m,1,109.14287400012836,None,110.17702069994994,None,1.0163551000878215,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,1.616,1.377,110.5773901999928,None,111.1155318999663,111.6280944000464,111.61151459999382,111.71143119991757,111.61151459999382,111.71143119991757,111.71143119991757,None,c,0,111.71143119991757,None,112.83390299999155,None,1.087915100157261,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,1.728,1.365,113.24621549993753,None,113.78886259999126,114.29686630005017,114.28018909995444,114.39669009996578,114.28018909995444,114.39669009996578,114.38000000012107,None,m,0,114.38000000012107,None,114.99717599991709,None,0.5952953000087291,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,1.644,1.632,115.39754400006495,None,115.9359615999274,116.44824830000289,116.43161699990742,116.54823670000769,116.43161699990742,116.54823670000769,116.53155490010977,None,None,0,116.53155490010977,None,118.18323480011895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,1.471,1.667,118.58321140008047,None,119.12570740003139,119.63386910012923,119.61716399993747,119.73387659993023,119.61716399993747,119.73387659993023,119.7172040999867,None,c,1,119.7172040999867,None,120.55006320006214,None,0.810051399981603,,,,,,,,,,,,,,,,,,,,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,135.5121943000704,None,1.48,2.332,139.02292970009148,None,,,,,,,,,,,,,,,,120.95144880004227,None,0.014405149966478348,0.5124965501017869,139.6546581001021,140.16550219990313,0.5030933001544327,1.003207900095731,140.14885289990343,140.26555070001632,140.14885289990343,140.26555070001632,140.24891759990714,None,m,1,1.2382980999536812,140.24891759990714,None,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,1.47,1.38,141.62374660000205,None,,,,,,,,,,,,,,,,,,,,142.1630671999883,142.66739240009338,0.5078370501287282,1.0081166501622647,142.65058779995888,142.76733670011163,142.65058779995888,142.76733670011163,142.75063919997774,None,c,1,1.1046106999274343,142.75063919997774,None,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,1.415,2.192,143.99091159994714,None,,,,,,,,,,,,,,,,,,,,144.5299305000808,145.03553949994966,0.5096631499473006,1.0099557498469949,145.01886710012332,145.13560570008121,145.01886710012332,145.13560570008121,145.1188868000172,None,None,0,,145.1188868000172,None,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,1.726,1.605,146.64119160012342,None,,,,,,,,,,,,,,,,,,,,147.18562130001374,147.6874643000774,0.5033395497594029,1.0036061499267817,147.67080989992246,147.787529299967,147.67080989992246,147.787529299967,147.77081910008565,None,c,1,0.8045033998787403,147.77081910008565,None,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,1.704,2.027,148.71103590005077,None,,,,,,,,,,,,,,,,,,,,149.2571815000847,149.77233620011248,0.5135643500834703,1.0138461499009281,149.75564730004407,149.87235229997896,149.75564730004407,149.87235229997896,149.85565900010988,None,m,1,1.151734899962321,149.85565900010988,None,,,,,,,pp,2022_Apr_05_0930,training+cueing,2021.1.4,59.93428807646222,
