Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,20.76584730000468,None,0.00408526009414345,0.525301460060291,45.437466700037476,None,62.666002699988894,None,62.666002699988894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,82.57207120000385,None,82.57207120000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,102.57103230000939,None,102.57103230000939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,122.52907889999915,None,163.85889390000375,None,space,0.2089074000250548,2.0079667399986647,None,166.07738020003308,None,1.708,1.233,169.09292500000447,None,169.72237730002962,170.2302161999978,170.2135719000362,170.33027959999163,170.2135719000362,170.33027959999163,170.31354430003557,None,None,0,170.31354430003557,None,172.03023490001215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,1.682,2.319,172.43180760001997,None,172.9622917000088,173.46591630001785,173.44924210000318,173.54923990002135,173.44924210000318,173.54923990002135,173.54923990002135,None,m,1,173.54923990002135,None,174.38930690003326,None,0.8079112999839708,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,1.748,2.226,174.80033050000202,None,175.33810350002022,175.85094400000526,175.8342881000135,175.95100080000702,175.8342881000135,175.95100080000702,175.93432350002695,None,c,1,175.93432350002695,None,176.73497260001022,None,0.7744530999916606,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,1.735,2.296,177.13650820002658,None,177.67783559998497,178.18599259998882,178.16926950000925,178.2860393000301,178.16926950000925,178.2860393000301,178.26930759998504,None,c,1,178.26930759998504,None,179.57031099998858,None,1.2713455999619327,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,1.671,2.348,179.97067200002493,None,180.50568150001345,181.02131660003215,181.00466159998905,181.10472589998972,181.00466159998905,181.10472589998972,181.10472589998972,None,c,1,181.10472589998972,None,182.10548010002822,None,0.979901900049299,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,1.645,2.255,182.50577990000602,None,183.039014399983,183.54001579998294,183.5232291999855,183.64007480000146,183.5232291999855,183.64007480000146,183.64007480000146,None,m,1,183.64007480000146,None,184.78897500003222,None,1.1325430000433698,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,1.713,1.301,185.1910901000374,None,185.7266352000297,186.24184010003228,186.22531920002075,186.3423692000215,186.22531920002075,186.3423692000215,186.3258720000158,None,m,1,186.3258720000158,None,187.24259600002551,None,0.8946608999976888,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,1.538,2.042,187.64275629998883,None,188.17276129999664,188.6768970999983,188.66019890003372,188.77693580003688,188.66019890003372,188.77693580003688,188.7602191999904,None,c,1,188.7602191999904,None,189.82608640001854,None,1.052490799978841,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,1.669,2.357,190.22815089998767,None,190.75975490000565,191.26210560003528,191.24543230002746,191.34543940000003,191.24543230002746,191.34543940000003,191.34543940000003,None,c,1,191.34543940000003,None,192.7140395999886,None,1.3474573999992572,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,1.625,2.341,193.11356100003468,None,193.64948989998084,194.1641952000209,194.14757169998484,194.26420209999196,194.14757169998484,194.26420209999196,194.24755929998355,None,c,1,194.24755929998355,None,195.16492569999536,None,0.8931174000026658,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,1.481,2.301,195.56518159998814,None,196.09757560002618,196.5992886000313,196.5826232000254,196.68263739999384,196.5826232000254,196.68263739999384,196.68263739999384,None,m,1,196.68263739999384,None,197.34986459999345,None,0.6499223000137135,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,1.523,2.293,197.75010559998918,None,198.29621569998562,198.80086930003017,198.78421300003538,198.90099470003042,198.78421300003538,198.90099470003042,198.88445080001839,None,m,1,198.88445080001839,None,199.91840359999333,None,1.0081446000258438,,,,,,,,,,,,,,,,,,,,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,235.3441717000096,None,1.485,1.507,238.86820179998176,None,,,,,,,,,,,,,,,,200.31870340002934,None,0.01427943998714909,0.512713439995423,239.4836048000143,239.99737510003615,0.5075202200678177,1.0077141200308688,239.98076310002944,240.0807295999839,239.98076310002944,240.0807295999839,240.0807295999839,None,c,1,0.883878700027708,240.0807295999839,None,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,1.705,1.698,241.08857150003314,None,,,,,,,,,,,,,,,,,,,,241.62806309998268,242.13222800003132,0.5069094200152904,1.0072006200207397,242.11557610001182,242.21561850002035,242.11557610001182,242.21561850002035,242.21561850002035,None,c,1,0.780990400002338,242.21561850002035,None,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,1.516,1.675,243.1227245000191,None,,,,,,,,,,,,,,,,,,,,243.66530839999905,244.16708929999731,0.5038071200251579,1.0040784200537018,244.15036259999033,244.26711650000652,244.15036259999033,244.26711650000652,244.25039160001324,None,c,1,0.9220794000430033,244.25039160001324,None,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,1.746,1.923,245.30737140000565,None,,,,,,,,,,,,,,,,,,,,245.84841139998753,246.3519467000151,0.5050903200171888,1.005398619978223,246.33528840000508,246.45203580003,246.33528840000508,246.45203580003,246.43533670000033,None,c,1,0.6735310999793,246.43533670000033,None,,,,,,,ppbb,2022_May_19_1058,training+cueing,2021.1.4,59.636479882248175,
