Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,22.644285200163722,None,0.010690446477383375,0.5095656462945044,24.651250099763274,None,26.78600660013035,None,26.78600660013035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Friend.png,Friend,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,46.687153399921954,None,46.687153399921954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Self.png,You,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,66.69755649985746,None,66.69755649985746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,86.64858919987455,None,98.94070040015504,None,space,-0.9990932000800967,2.0001754402182996,None,100.92581499973312,None,1.438,1.747,103.93081329995766,None,104.55095899989828,105.06208560010418,105.02869120007381,105.1287909001112,105.02869120007381,105.1287909001112,105.1287909001112,None,m,1,0.7818952002562582,105.1287909001112,None,105.92924960004166,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1.519,1.555,106.32962690014392,None,106.86850479990244,107.38041139999405,107.36373669980094,107.48043650016189,107.36373669980094,107.48043650016189,107.46376519976184,None,m,1,0.7511436999775469,107.46376519976184,None,108.23117600008845,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1.666,1.362,108.6314281001687,None,109.1722864001058,109.68206210015342,109.64870239980519,109.74881639983505,109.64870239980519,109.74881639983505,109.74881639983505,None,c,1,0.5772317997179925,109.74881639983505,None,110.34922500001267,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,1.528,1.861,110.74946579989046,None,111.27707199985161,111.78361789975315,111.76691670017317,111.8669607997872,111.76691670017317,111.8669607997872,111.8669607997872,None,c,1,0.47567279962822795,111.8669607997872,None,112.36745329992846,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,1.624,1.853,112.76808589976281,None,113.29946050001308,113.80156409973279,113.78490079985932,113.90159429982305,113.78490079985932,113.90159429982305,113.88490060018376,None,c,1,0.7776255998760462,113.88490060018376,None,114.68574609979987,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,1.506,1.311,115.08604029985145,None,115.61651899991557,116.1200776998885,116.10336889978498,116.20344799989834,116.10336889978498,116.20344799989834,116.20344799989834,None,m,1,0.7945876000449061,116.20344799989834,None,117.02069139992818,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,1.523,1.911,117.42093579983339,None,117.95457409974188,118.4550728998147,118.4550728998147,118.55514980014414,118.4550728998147,118.55514980014414,118.55514980014414,None,c,1,0.6989959999918938,118.55514980014414,None,119.27235969994217,None,,,,,,,,,,,,,,,,,,,,,,,,f,20,ppdd2,2022-08-15_15h30.13.738,training+cueing,2022.1.3,59.93917379358871,
