Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,11.933054599998286,None,0.009622079989640042,0.5351943799760193,13.910903799987864,None,16.054533599992283,None,16.054533599992283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,35.96836739999708,None,35.96836739999708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,55.9600153999927,None,55.9600153999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,75.92272319999756,None,83.51125559999491,None,space,0.7673028999997769,2.0083664400153793,None,86.28021029999945,None,1.632,2.072,89.29375069998787,None,89.92370719998144,90.43320249998942,90.41653469999437,90.5332726999768,90.41653469999437,90.5332726999768,90.5332726999768,None,m,0,0.9437947999977041,90.5332726999768,None,91.51602819998516,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,1.557,2.307,91.91745269999956,None,92.44847119998303,92.95153479999863,92.93484349999926,93.05158249998931,92.93484349999926,93.05158249998931,93.03485719999298,None,c,1,0.8739828999969177,93.03485719999298,None,93.93465640000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,1.653,1.657,94.33640019997256,None,94.87788699998055,95.38671779999277,95.35325289997854,95.45329179998953,95.35325289997854,95.45329179998953,95.45329179998953,None,c,1,0.7756079999962822,95.45329179998953,None,96.2524578999728,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,1.778,1.721,96.65436839999165,None,97.19132019998506,97.704985999997,97.68828099998063,97.80500969997956,97.68828099998063,97.80500969997956,97.78830279997783,None,m,1,1.2885718999896199,97.78830279997783,None,99.10467259999132,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.29,99.50640109999222,None,100.04393279997748,100.55704559999867,100.54033629997866,100.65707579997252,100.54033629997866,100.65707579997252,100.64035779997357,None,m,1,1.3164434999926016,100.64035779997357,None,101.97474749997491,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,1.625,1.562,102.37499809998553,None,102.90523259999463,103.40909799997462,103.39239999998244,103.50911719998112,103.39239999998244,103.50911719998112,103.49240589997498,None,m,0,1.2804219999816269,103.49240589997498,None,104.79427519999444,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,1.745,2.402,105.19373259998974,None,105.72683049997431,106.22778009998729,106.21104379999451,106.31114209999214,106.21104379999451,106.31114209999214,106.31114209999214,None,c,0,1.4216753000218887,106.31114209999214,None,107.76252999997814,None,,,,,,,,,,,,,,,,,,,,,,,,,,pq3,2022_Apr_15_1411,training+cueing,2021.1.4,59.98375639728381,
