Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,13.00019559985958,None,0.002321700332686305,0.5205421003047377,14.98706499999389,None,17.14277259982191,None,17.14277259982191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,37.04087859997526,None,37.04087859997526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,57.05590559984557,None,57.05590559984557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,76.99896009988151,None,96.22965359990485,None,space,-0.33872659993357956,2.007660600123927,None,98.22956869984046,None,1.73,2.344,101.24560309993103,None,101.87666349997744,102.38447259995155,102.36762629984878,102.4843886999879,102.36762629984878,102.4843886999879,102.46764579997398,None,m,1,0.22415190003812313,102.46764579997398,None,102.72065100003965,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1.587,1.751,103.13461159984581,None,103.67494159983471,104.1852182999719,104.16858859988861,104.28527049999684,104.16858859988861,104.28527049999684,104.26858869986609,None,c,0,0.1991277001798153,104.26858869986609,None,104.48577809985727,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1.717,2.366,104.88589249993674,None,105.4266305998899,105.93650859990157,105.9198690999765,106.01989390002564,105.9198690999765,106.01989390002564,106.01989390002564,None,m,1,0.20779399992898107,106.01989390002564,None,106.25222119991668,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.923,106.65381309995428,None,107.18889219989069,107.70445409999229,107.6878577999305,107.80450319987722,107.6878577999305,107.80450319987722,107.78781350003555,None,m,0,0.11997490003705025,107.78781350003555,None,107.93841539998539,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,1.528,1.529,108.33821549988352,None,108.8818134998437,109.38896869984455,109.37234709993936,109.48898589983582,109.37234709993936,109.48898589983582,109.47237019985914,None,c,0,0.11529540014453232,109.47237019985914,None,109.60590089997277,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,1.771,2.117,110.00612129992805,None,110.53919019992463,111.04015699983574,111.02354549989104,111.14018119988032,111.02354549989104,111.14018119988032,111.14018119988032,None,c,1,0.7035852000117302,111.14018119988032,None,111.8727575999219,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,1.773,1.455,112.27455279999413,None,112.81110519985668,113.32517759990878,113.3084996000398,113.42522279988043,113.3084996000398,113.42522279988043,113.40850609983318,None,m,1,0.2591232000850141,113.40850609983318,None,113.69216089998372,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,1.603,1.738,114.09242059988901,None,114.6243753999006,115.12648009997793,115.10978599986993,115.20988309988752,115.10978599986993,115.20988309988752,115.20988309988752,None,c,1,0.39379989984445274,115.20988309988752,None,115.62691799993627,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,1.782,2.027,116.02732339990325,None,116.56721839983948,117.07789329998195,117.06120059988461,117.1779684999492,117.06120059988461,117.1779684999492,117.16124189994298,None,m,0,0.33045580005273223,117.16124189994298,None,117.51176230004057,None,,,,,,,,,,,,,,,,,,,,,,,,m,,ptt,2022_Apr_11_1424,training+cueing,2021.1.4,59.95218213834401,
