Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,21.403393700020388,None,0.0115203398745507,0.5373180399183184,38.67402969999239,None,56.094394400017336,None,56.094394400017336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Self.png,You,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,75.99443379999138,None,75.99443379999138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,95.98884169990197,None,95.98884169990197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,115.95010229991749,None,151.57606779993512,None,space,0.562394900014624,2.0085335297044367,None,154.14306539995596,None,1.528,2.449,157.15902010002173,None,157.8105721999891,158.31414199993014,158.2975108998362,158.4141159998253,158.2975108998362,158.4141159998253,158.39744520001113,None,m,1,1.3896834999322891,158.39744520001113,None,159.8195199999027,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1.627,2.182,160.23249369999394,None,160.77335799997672,161.2829086999409,161.26631310000084,161.36633659992367,161.26631310000084,161.36633659992367,161.36633659992367,None,c,1,1.5566084999591112,161.36633659992367,None,162.95108060003258,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,1.488,1.805,163.35133269988,None,163.891310099978,164.401934399968,164.3852756000124,164.5020557998214,164.3852756000124,164.5020557998214,164.48531389981508,None,c,0,1.2697942999657243,164.48531389981508,None,165.7863415000029,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,1.539,1.636,166.18654769985005,None,166.71898989984766,167.22068529995158,167.2039805999957,167.30401810002513,167.2039805999957,167.30401810002513,167.30401810002513,None,c,0,0.7550801998004317,167.30401810002513,None,168.08818880002946,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1.632,2.231,168.48837809986435,None,169.02201949991286,169.52241279999726,169.50569289992563,169.60569909983315,169.50569289992563,169.60569909983315,169.60569909983315,None,c,1,0.965302900178358,169.60569909983315,None,170.58868239982985,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,1.586,1.232,170.99015349987894,None,171.52264470001683,172.02426550001837,172.00752320000902,172.12428929982707,172.00752320000902,172.12428929982707,172.1075377999805,None,m,1,0.7194181999657303,172.1075377999805,None,172.85831719986163,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,1.613,2.292,173.2584538999945,None,173.78602329990827,174.29259500000626,174.27587249991484,174.39259059983306,174.27587249991484,174.39259059983306,174.37584039987996,None,c,1,0.7392138000577688,174.37584039987996,None,175.14324669982307,None,,,,,,,,,,,,,,,,,,,,,,,,m,,pu,2022_Apr_12_1146,training+cueing,2021.1.4,59.967569570680396,
