Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Friend.png,Friend,,,,,,,0,0,0,1,,,,,,,,,,,,,14.800057700020261,None,0.006080059916712344,0.5277508599101566,28.54960030002985,None,101.0564131999854,None,101.0564131999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,Stranger,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,120.96110140002565,None,120.96110140002565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,You,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,140.95795020001242,None,140.95795020001242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,160.9122706000344,None,236.35003249999136,None,space,-0.8376298000221141,2.0076344599947333,None,238.3516792000155,None,1.463,1.854,241.36805950000416,None,241.99441380001372,242.50449240003945,242.48783759999787,242.60452069999883,242.48783759999787,242.60452069999883,242.60452069999883,None,None,0,242.60452069999883,None,244.08005440002307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1.744,2.304,244.48933469998883,None,245.02665910002543,245.54002140002558,245.52335020003375,245.62340590002714,245.52335020003375,245.62340590002714,245.62340590002714,None,m,0,245.62340590002714,None,246.23896650003735,None,0.5912152000237256,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,1.545,2.21,246.64101870002924,None,247.1798743000254,247.6917276000022,247.6750594000332,247.7752129000146,247.6750594000332,247.7752129000146,247.7752129000146,None,c,0,247.7752129000146,None,248.7074040999869,None,0.9031484000151977,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1.565,1.961,249.1094127999968,None,249.64726669999072,250.16018539998913,250.1435093000182,250.26025530003244,250.1435093000182,250.26025530003244,250.24357190000592,None,m,1,250.24357190000592,None,251.69589480001014,None,1.4269731999957003,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,1.444,1.92,252.09506160003366,None,252.63219850003952,253.1455116000143,253.1288358999882,253.2455833000131,253.1288358999882,253.2455833000131,253.2288667000248,None,m,1,253.2288667000248,None,254.59658579999814,None,1.3373747000005096,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,1.611,1.293,254.9970285000163,None,255.53383120003855,256.0476374999853,256.0310383000178,256.14766690001125,256.0310383000178,256.14766690001125,256.13093740004115,None,m,0,256.13093740004115,None,257.4986685999902,None,1.3475611999747343,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.807,257.8990758000291,None,258.4310047000181,258.9330688000191,258.91636169998674,259.0164264999912,258.91636169998674,259.0164264999912,259.0164264999912,None,c,1,259.0164264999912,None,260.01579099998344,None,0.973840199992992,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1.619,1.892,260.4174312000396,None,260.9515982000157,261.4514932000311,261.4348408000078,261.55159270000877,261.4348408000078,261.55159270000877,261.55159270000877,None,m,1,261.55159270000877,None,263.15277280000737,None,1.5747237000032328,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,1.422,2.285,263.55321450001793,None,264.0979732000269,264.60382780001964,264.5871210999903,264.70386360003613,264.5871210999903,264.70386360003613,264.68715650000377,None,c,1,264.68715650000377,None,265.8213456000085,None,1.1110200000111945,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.451,266.2215980000328,None,266.754356999998,267.2557464999845,267.2390634000185,267.3392077999888,267.2390634000185,267.3392077999888,267.3392077999888,None,m,1,267.3392077999888,None,268.57334750000155,None,1.2110667999950238,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,1.631,1.48,268.97375910001574,None,269.5115394000313,270.0243833999848,270.00772749999305,270.12442649999866,270.00772749999305,270.12442649999866,270.10772910004016,None,None,0,270.10772910004016,None,271.75322720000986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,1.663,1.78,272.15927440003725,None,272.69293060002383,273.1933337000082,273.17669260001276,273.29354250000324,273.17669260001276,273.29354250000324,273.29354250000324,None,c,1,273.29354250000324,None,274.41267380001955,None,1.0967630000086501,,,,,,,,,,,,,,,,,,,,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,357.12078240001574,None,1.639,1.845,360.63464440003736,None,,,,,,,,,,,,,,,,274.82801980001386,None,0.014298460038844496,None,361.26150960003724,361.7740632999921,0.5052811399800703,1.0054661399917677,361.7574580000364,361.8740696000168,361.7574580000364,361.8740696000168,361.85741300001973,None,c,1,1.1730402000248432,361.85741300001973,None,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1.731,1.556,363.16554950003047,None,,,,,,,,,,,,,,,,,,,,363.70745149999857,364.209113000019,0.5030256800237112,1.0033788799773902,364.1924122000346,364.30915430001915,364.1924122000346,364.30915430001915,364.29245430004084,None,m,1,1.1858635999960825,364.29245430004084,None,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,1.643,2.297,365.600144200027,None,,,,,,,,,,,,,,,,,,,,366.13622129999567,366.64422920002835,0.5148462800425477,1.0151373800472356,366.62753440003144,366.74426050001057,366.62753440003144,366.74426050001057,366.727591700037,None,None,0,,366.727591700037,None,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,1.486,1.753,368.48336150002433,None,,,,,,,,,,,,,,,,,,,,369.0249893,369.529873099993,0.5063472800538875,1.0066347800311632,369.5131611000397,369.62991519999923,369.5131611000397,369.62991519999923,369.61320890003117,None,m,1,1.1768803000450134,369.61320890003117,None,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,1.715,2.436,370.92107540002326,None,,,,,,,,,,,,,,,,,,,,371.46360300004017,371.96471969998674,0.5015502799651586,1.0018431799835525,371.94805440003984,372.0481011000229,371.94805440003984,372.0481011000229,372.0481011000229,None,m,1,0.9503655000007711,372.0481011000229,None,,,,,,,pw,2022_Apr_18_1143,training+cueing,2021.1.4,59.981957422495825,
