Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Stranger,,,,,,,0,0,0,2,,,,,,,,,,,,,12.854731999803334,None,0.0033149197697639465,0.5183238200843334,14.83965600002557,None,17.003633100073785,None,17.003633100073785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,36.89627439994365,None,36.89627439994365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,56.89202729985118,None,56.89202729985118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,76.85127570014447,None,95.2476474000141,None,space,0.2701697996817529,2.009355659596622,None,97.51613269979134,None,1.723,1.304,100.52565390011296,None,101.16194619983435,101.6689582997933,101.65223369980231,101.76902809971943,101.65223369980231,101.76902809971943,101.75224569998682,None,m,0,0.8362543000839651,101.75224569998682,None,102.62006919970736,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1.678,1.614,103.02003129990771,None,103.56039190012962,104.07059849984944,104.05402049981058,104.17069529974833,104.05402049981058,104.17069529974833,104.15401439974084,None,m,1,1.250434400048107,104.15401439974084,None,105.4205346996896,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1.671,2.337,105.82195780007169,None,106.37095829984173,106.87271220004186,106.8560096998699,106.97277959994972,106.8560096998699,106.97277959994972,106.9560477999039,None,c,0,1.2806331999599934,106.9560477999039,None,108.27089700009674,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,1.554,2.282,108.67402559984475,None,109.20865930011496,109.70807950012386,109.70807950012386,109.80815719999373,109.70807950012386,109.80815719999373,109.80815719999373,None,None,0,,109.80815719999373,None,111.37594879977405,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,1.592,1.464,111.77619950007647,None,112.31149909971282,112.81032499996945,112.81032499996945,112.91035739984363,112.81032499996945,112.91035739984363,112.91035739984363,None,c,1,1.2300344998948276,112.91035739984363,None,114.15966300014406,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,1.724,1.717,114.56175530003384,None,115.10056569986045,115.61236899998039,115.59561209985986,115.71240160008892,115.59561209985986,115.71240160008892,115.69564880011603,None,c,1,1.612897700164467,115.69564880011603,None,117.3474237001501,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1.522,2.155,117.74740679981187,None,118.28476289985701,118.79797239974141,118.78135540010408,118.88135919999331,118.78135540010408,118.88135919999331,118.88135919999331,None,None,0,,118.88135919999331,None,120.41727249976248,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
