"Subject","Trial","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Matching","RT_ms","RT_sec","ACC"
995543569,5,"self","Self","Self","Nonmatching",968,0.968,1
995543569,7,"friend","Friend","Close","Matching",1116,1.116,0
995543569,9,"friend","Friend","Close","Nonmatching",1024,1.024,0
995543569,11,"friend","Friend","Close","Matching",954,0.954,1
995543569,13,"friend","Friend","Close","Nonmatching",865,0.865,1
995543569,15,"friend","Friend","Close","Matching",1046,1.046,1
995543569,17,"self","Self","Self","Nonmatching",582,0.582,1
995543569,19,"friend","Friend","Close","Nonmatching",545,0.545,0
995543569,21,"self","Self","Self","Nonmatching",802,0.802,1
995543569,23,"self","Self","Self","Nonmatching",966,0.966,1
995543569,27,"friend","Friend","Close","Matching",663,0.663,1
995543569,29,"self","Self","Self","Nonmatching",781,0.781,1
995543569,31,"self","Self","Self","Matching",742,0.742,1
995543569,33,"self","Self","Self","Matching",736,0.736,1
995543569,35,"self","Self","Self","Matching",415,0.415,1
995543569,37,"friend","Friend","Close","Nonmatching",545,0.545,0
995543569,39,"self","Self","Self","Matching",513,0.513,1
995543569,41,"friend","Friend","Close","Matching",761,0.761,0
995543569,43,"friend","Friend","Close","Matching",1146,1.146,1
995543569,45,"friend","Friend","Close","Matching",822,0.822,1
995543569,47,"self","Self","Self","Matching",538,0.538,1
995543569,49,"self","Self","Self","Matching",599,0.599,1
995543569,51,"friend","Friend","Close","Matching",826,0.826,1
995543569,53,"friend","Friend","Close","Nonmatching",657,0.657,1
995543569,55,"self","Self","Self","Nonmatching",1105,1.105,1
995543569,59,"friend","Friend","Close","Nonmatching",844,0.844,1
995543569,61,"self","Self","Self","Nonmatching",1111,1.111,1
995543569,63,"friend","Friend","Close","Nonmatching",602,0.602,1
995543569,65,"friend","Friend","Close","Nonmatching",790,0.79,1
995543569,67,"friend","Friend","Close","Nonmatching",502,0.502,1
995543569,69,"friend","Friend","Close","Matching",494,0.494,1
995543569,71,"self","Self","Self","Matching",624,0.624,1
995543569,73,"self","Self","Self","Matching",477,0.477,1
995543569,75,"friend","Friend","Close","Nonmatching",784,0.784,1
995543569,77,"self","Self","Self","Nonmatching",729,0.729,1
995543569,79,"self","Self","Self","Nonmatching",824,0.824,1
995543569,81,"friend","Friend","Close","Matching",1019,1.019,1
