subject,trialnum,shapeassociation,matchingcondition,response,correct,latency
995543569,5,self,mismatching,48,1,968
995543569,7,friend,matching,48,0,1116
995543569,9,friend,mismatching,47,0,1024
995543569,11,friend,matching,47,1,954
995543569,13,friend,mismatching,48,1,865
995543569,15,friend,matching,47,1,1046
995543569,17,self,mismatching,48,1,582
995543569,19,friend,mismatching,47,0,545
995543569,21,self,mismatching,48,1,802
995543569,23,self,mismatching,48,1,966
995543569,27,friend,matching,47,1,663
995543569,29,self,mismatching,48,1,781
995543569,31,self,matching,47,1,742
995543569,33,self,matching,47,1,736
995543569,35,self,matching,47,1,415
995543569,37,friend,mismatching,47,0,545
995543569,39,self,matching,47,1,513
995543569,41,friend,matching,48,0,761
995543569,43,friend,matching,47,1,1146
995543569,45,friend,matching,47,1,822
995543569,47,self,matching,47,1,538
995543569,49,self,matching,47,1,599
995543569,51,friend,matching,47,1,826
995543569,53,friend,mismatching,48,1,657
995543569,55,self,mismatching,48,1,1105
995543569,59,friend,mismatching,48,1,844
995543569,61,self,mismatching,48,1,1111
995543569,63,friend,mismatching,48,1,602
995543569,65,friend,mismatching,48,1,790
995543569,67,friend,mismatching,48,1,502
995543569,69,friend,matching,47,1,494
995543569,71,self,matching,47,1,624
995543569,73,self,matching,47,1,477
995543569,75,friend,mismatching,48,1,784
995543569,77,self,mismatching,48,1,729
995543569,79,self,mismatching,48,1,824
995543569,81,friend,matching,47,1,1019
995543569,83,self,mismatching,48,1,513
995543569,85,friend,mismatching,47,0,391
995543569,87,friend,matching,47,1,1080
995543569,89,self,mismatching,48,1,843
995543569,91,self,matching,47,1,495
995543569,93,self,mismatching,48,1,541
995543569,95,self,mismatching,48,1,718
995543569,97,self,matching,47,1,543
995543569,99,friend,matching,47,1,972
995543569,101,friend,matching,47,1,366
995543569,103,self,mismatching,48,1,510
995543569,105,friend,mismatching,47,0,474
995543569,107,self,matching,47,1,1153
995543569,111,self,matching,47,1,1168
995543569,113,friend,matching,47,1,488
995543569,115,friend,mismatching,48,1,765
995543569,117,friend,matching,48,0,670
995543569,119,self,mismatching,48,1,944
995543569,121,self,mismatching,48,1,744
995543569,123,self,matching,47,1,611
995543569,125,self,matching,47,1,385
995543569,127,self,matching,47,1,394
995543569,129,self,matching,47,1,413
995543569,131,friend,matching,48,0,461
995543569,133,self,mismatching,47,0,674
995543569,135,self,matching,47,1,566
995543569,137,friend,mismatching,48,1,816
995543569,139,friend,mismatching,48,1,768
995543569,141,self,matching,47,1,534
995543569,143,friend,mismatching,48,1,701
995543569,145,friend,matching,47,1,686
995543569,147,self,mismatching,48,1,913
995543569,151,friend,mismatching,48,1,686
995543569,153,self,matching,47,1,413
995543569,155,friend,matching,47,1,942
995543569,157,self,matching,47,1,594
995543569,159,friend,matching,47,1,410
995543569,161,friend,matching,47,1,539
995543569,163,self,mismatching,48,1,561
995543569,165,friend,matching,47,1,559
995543569,167,friend,matching,47,1,507
995543569,169,self,mismatching,47,0,497
995543569,171,friend,mismatching,48,1,861
995543569,173,friend,matching,47,1,1031
995543569,175,friend,matching,47,1,408
995543569,177,friend,mismatching,48,1,639
995543569,179,self,matching,47,1,387
995543569,181,self,mismatching,48,1,621
995543569,183,self,mismatching,48,1,1114
995543569,185,friend,mismatching,47,0,471
995543569,189,self,matching,47,1,985
995543569,191,self,mismatching,48,1,608
995543569,193,self,mismatching,48,1,449
995543569,195,self,matching,47,1,419
995543569,199,self,mismatching,48,1,685
995543569,201,friend,mismatching,48,1,916
995543569,203,friend,mismatching,48,1,1182
995543569,205,friend,mismatching,48,1,493
995543569,207,self,matching,47,1,443
995543569,209,self,matching,47,1,369
995543569,211,friend,mismatching,47,0,263
995543569,213,self,matching,47,1,999
995543569,215,self,mismatching,48,1,1051
995543569,217,self,matching,47,1,1007
995543569,219,friend,mismatching,48,1,735
995543569,221,self,mismatching,48,1,611
995543569,223,friend,mismatching,48,1,834
995543569,225,self,matching,47,1,909
995543569,227,friend,mismatching,48,1,732
995543569,233,self,mismatching,48,1,871
995543569,235,friend,matching,48,0,807
995543569,237,friend,mismatching,48,1,713
995543569,239,self,matching,47,1,883
995543570,1,friend,mismatching,47,1,926
995543570,3,friend,matching,48,1,776
995543570,5,self,mismatching,47,1,918
995543570,7,friend,mismatching,47,1,733
995543570,9,self,mismatching,47,1,837
995543570,11,self,mismatching,47,1,650
995543570,13,friend,matching,47,0,583
995543570,15,friend,mismatching,47,1,695
995543570,17,friend,matching,48,1,808
995543570,19,friend,matching,47,0,656
995543570,21,friend,mismatching,47,1,709
995543570,23,friend,matching,48,1,1019
995543570,25,friend,matching,48,1,731
995543570,27,friend,matching,48,1,535
